tipo_celular,module_size,SLC9A6_MM,SLC9A6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,228.0,0.143,32.0,266,54,20.3,3.21 (2.82-3.60),212,79.7,4.45 (4.23-4.68)
oligodendrocyte progenitor cells 7,296.0,0.173,45.0,251,9,3.59,3.08 (2.63-3.52),242,96.41,4.12 (3.87-4.37)
GABA neurons expressing GLU receptors 22,848.0,0.2,45.0,262,36,13.74,4.24 (3.49-4.98),226,86.26,4.14 (3.89-4.40)
GLU like neurons 17,1316.0,0.103,31.0,101,1,0.99,3.38 (NA-NA),100,99.01,3.05 (2.69-3.40)
da like neurons 11,1220.0,0.169,46.0,410,34,8.29,3.21 (2.90-3.53),376,91.71,4.38 (4.18-4.58)
GABA neurons expressing GABA receptors 13,357.0,0.218,73.0,237,13,5.49,3.98 (3.83-4.13),224,94.51,4.44 (4.19-4.69)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.04,4.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402.0,0.285,63.0,455,28,6.15,2.86 (2.26-3.45),427,93.85,4.48 (4.29-4.67)
astrocytes 8,520.0,0.177,66.0,288,25,8.68,3.38 (2.85-3.92),263,91.32,4.27 (4.06-4.48)
oligodendrocyte progenitor cells 12,3303.0,0.101,76.0,276,9,3.26,2.23 (1.58-2.88),267,96.74,3.59 (3.37-3.82)
oligodendrocytes 10,806.0,0.299,79.0,261,39,14.94,4.28 (3.73-4.83),222,85.06,4.39 (4.12-4.66)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.033,4.0,105,11,10.48,2.29 (1.52-3.06),94,89.52,3.33 (2.97-3.69)
oligodendrocytes 16,313.0,0.278,69.0,291,40,13.75,3.29 (3.02-3.56),251,86.25,4.56 (4.30-4.81)
da neurons 6,300.0,0.265,81.0,159,4,2.52,3.97 (3.48-4.47),155,97.48,4.38 (4.06-4.70)
astrocytes microglia 23,62.0,0.306,48.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.134,31.0,104,11,10.58,2.57 (1.70-3.45),93,89.42,2.90 (2.60-3.20)
oligodendrocytes 0,2078.0,0.102,25.0,238,2,0.84,1.10 (-0.65-2.86),236,99.16,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.112,48.0,345,27,7.83,3.25 (2.90-3.61),318,92.17,4.40 (4.17-4.62)
oligodendrocytes 2,1630.0,0.168,93.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
