tipo_celular,module_size,ABLIM3_MM,ABLIM3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.132,40.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.126,36.0,353,22,6.23,2.28 (1.70-2.86),331,93.77,4.03 (3.84-4.22)
GABA neurons expressing GLU receptors 22,1069.0,0.216,82.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.211,95.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,108.0,0.482,99.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.228,60.0,120,4,3.33,4.50 (-0.41-9.41),116,96.67,4.61 (4.29-4.92)
oligodendrocytes 20,250.0,0.055,13.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2090.0,0.208,82.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,727.0,0.069,24.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81)
oligodendrocyte progenitor cells 12,3303.0,0.087,60.0,276,15,5.43,2.39 (1.76-3.03),261,94.57,3.63 (3.40-3.85)
oligodendrocytes 10,806.0,0.048,7.0,261,11,4.21,3.86 (3.05-4.67),250,95.79,4.39 (4.14-4.64)
connective tissue cells 21,111.0,0.206,4.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.155,57.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,51.0,0.267,74.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.305,40.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,201.0,0.216,77.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,2078.0,0.068,1.0,238,4,1.68,2.24 (0.50-3.99),234,98.32,3.66 (3.44-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.177,71.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.197,52.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
