tipo_celular,module_size,RCBTB2_MM,RCBTB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.152,45.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.064,4.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,322.0,0.106,42.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.125,41.0,358,8,2.23,2.51 (0.95-4.08),350,97.77,3.90 (3.70-4.09)
connective tissue cells 21,93.0,0.406,95.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,122.0,0.376,100.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.298,50.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,117.0,0.107,20.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,1615.0,0.129,75.0,161,7,4.35,2.51 (0.95-4.08),154,95.65,3.32 (3.05-3.59)
oligodendrocytes 3,743.0,0.056,14.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.149,65.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
