tipo_celular,module_size,ACTR6_MM,ACTR6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,624.0,0.163,59.0,142,4,2.82,4.01 (3.30-4.73),138,97.18,3.18 (2.91-3.46)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.122,30.0,353,62,17.56,2.17 (1.89-2.45),291,82.44,4.39 (4.21-4.56)
GABA neurons expressing GLU receptors 22,487.0,0.473,98.0,73,7,9.59,1.85 (1.36-2.35),66,90.41,2.87 (2.45-3.29)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.084,9.0,410,3,0.73,1.02 (0.32-1.71),407,99.27,4.28 (4.10-4.47)
GABA neurons expressing GABA receptors 13,90.0,0.175,61.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.265,59.0,455,24,5.27,1.73 (1.21-2.26),431,94.73,4.55 (4.37-4.73)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.051,16.0,276,48,17.39,2.05 (1.83-2.27),228,82.61,3.97 (3.74-4.21)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.179,74.0,235,6,2.55,1.73 (1.17-2.28),229,97.45,4.06 (3.81-4.31)
astrocytes microglia 23,108.0,0.329,57.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
