tipo_celular,module_size,CCS_MM,CCS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.321,94.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.114,22.0,128,4,3.12,7.18 (7.18-7.18),124,96.88,3.41 (3.09-3.73)
oligodendrocyte progenitor cells 7,628.0,0.094,5.0,164,1,0.61,4.47 (NA-NA),163,99.39,4.08 (3.75-4.41)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.118,39.0,133,14,10.53,1.21 (0.69-1.73),119,89.47,3.54 (3.23-3.85)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.132,43.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.116,73.0,89,8,8.99,2.12 (0.64-3.60),81,91.01,2.85 (2.51-3.19)
oligodendrocyte progenitor cells 12,1049.0,0.089,48.0,235,3,1.28,4.21 (3.20-5.22),232,98.72,3.82 (3.58-4.05)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,136.0,0.442,97.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,377.0,0.165,60.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,100.0,0.387,89.0,9,1,11.11,2.53 (NA-NA),8,88.89,4.13 (3.05-5.21)
astrocytes 4,721.0,0.158,63.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.089,21.0,161,20,12.42,1.30 (0.86-1.74),141,87.58,3.63 (3.37-3.88)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
