tipo_celular,module_size,VDAC2_MM,VDAC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172.0,0.112,21.0,140,9,6.43,3.02 (2.26-3.78),131,93.57,4.63 (4.19-5.08)
T cells 18,282.0,0.124,31.0,241,13,5.39,3.43 (2.72-4.15),228,94.61,4.10 (3.84-4.36)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.182,60.0,164,7,4.27,2.44 (1.75-3.13),157,95.73,4.16 (3.82-4.49)
GABA neurons expressing GLU receptors 22,1069.0,0.199,74.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.378,91.0,410,28,6.83,3.01 (2.56-3.45),382,93.17,4.37 (4.17-4.56)
GABA neurons expressing GABA receptors 13,357.0,0.163,49.0,237,7,2.95,2.82 (2.26-3.38),230,97.05,4.44 (4.21-4.68)
endothelial cells 9,916.0,0.136,27.0,302,18,5.96,2.89 (2.13-3.64),284,94.04,4.07 (3.83-4.30)
oligodendrocytes 20,938.0,0.227,87.0,169,15,8.88,2.10 (1.60-2.61),154,91.12,3.62 (3.40-3.84)
GABA like neurons 14,2402.0,0.452,85.0,455,31,6.81,2.25 (1.75-2.76),424,93.19,4.54 (4.36-4.73)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.212,86.0,235,11,4.68,3.29 (2.48-4.11),224,95.32,3.85 (3.61-4.09)
oligodendrocytes 10,735.0,0.239,94.0,277,2,0.72,3.69 (2.58-4.80),275,99.28,3.90 (3.65-4.14)
connective tissue cells 21,101.0,0.349,61.0,116,14,12.07,2.41 (1.91-2.90),102,87.93,5.07 (4.65-5.48)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,313.0,0.291,73.0,291,29,9.97,3.02 (2.55-3.50),262,90.03,4.49 (4.25-4.72)
da neurons 6,409.0,0.324,96.0,235,18,7.66,3.11 (2.41-3.82),217,92.34,4.05 (3.79-4.32)
astrocytes microglia 23,70.0,0.35,67.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.117,20.0,252,29,11.51,2.10 (1.60-2.60),223,88.49,4.42 (4.18-4.67)
microglia 1,214.0,0.136,29.0,227,15,6.61,2.79 (2.22-3.36),212,93.39,4.19 (3.95-4.44)
oligodendrocytes 3,457.0,0.134,60.0,345,18,5.22,2.57 (2.16-2.98),327,94.78,4.39 (4.18-4.60)
oligodendrocytes 2,526.0,0.215,35.0,213,6,2.82,3.84 (2.85-4.83),207,97.18,3.98 (3.70-4.27)
