tipo_celular,module_size,LIMCH1_MM,LIMCH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.118,13.0,98,6,6.12,4.38 (2.44-6.32),92,93.88,4.62 (4.20-5.03)
oligodendrocyte progenitor cells 7,229.0,0.372,90.0,45,6,13.33,4.99 (4.83-5.15),39,86.67,5.01 (4.26-5.75)
GABA neurons expressing GLU receptors 22,567.0,0.368,88.0,16,3,18.75,2.09 (1.81-2.36),13,81.25,1.95 (1.17-2.74)
GLU like neurons 17,637.0,0.262,77.0,91,20,21.98,3.54 (2.38-4.71),71,78.02,4.93 (4.39-5.46)
da like neurons 11,153.0,0.343,83.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,288.0,0.305,85.0,93,15,16.13,4.31 (3.03-5.59),78,83.87,5.35 (4.83-5.87)
endothelial cells 9,658.0,0.377,90.0,120,18,15.0,4.97 (4.46-5.47),102,85.0,4.53 (4.17-4.90)
oligodendrocytes 20,676.0,0.28,52.0,110,32,29.09,4.76 (4.02-5.49),78,70.91,5.15 (4.58-5.71)
GABA like neurons 14,1300.0,0.233,62.0,306,35,11.44,4.46 (3.79-5.14),271,88.56,5.22 (4.93-5.50)
astrocytes 8,771.0,0.185,64.0,48,6,12.5,5.07 (3.37-6.77),42,87.5,4.31 (3.48-5.15)
oligodendrocyte progenitor cells 12,708.0,0.572,98.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,204.0,0.524,82.0,92,10,10.87,7.03 (6.32-7.75),82,89.13,5.45 (4.93-5.96)
connective tissue cells 21,250.0,0.368,66.0,117,17,14.53,5.37 (4.49-6.25),100,85.47,5.37 (4.92-5.82)
astrocytes 15,418.0,0.285,70.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,287.0,0.085,1.0,105,23,21.9,4.01 (3.19-4.83),82,78.1,5.56 (5.08-6.04)
da neurons 6,398.0,0.29,85.0,138,35,25.36,4.47 (3.69-5.26),103,74.64,4.97 (4.56-5.38)
astrocytes microglia 23,122.0,0.267,41.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,161.0,0.203,64.0,45,1,2.22,7.00 (NA-NA),44,97.78,5.22 (4.59-5.86)
oligodendrocytes 0,187.0,0.121,19.0,14,2,14.29,6.26 (4.45-8.07),12,85.71,5.39 (4.74-6.05)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.154,76.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,131.0,0.349,93.0,20,2,10.0,6.20 (NA-NA),18,90.0,4.40 (3.65-5.15)
