tipo_celular,module_size,FAM149B1_MM,FAM149B1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.215,51.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.134,80.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.12,27.0,353,16,4.53,2.50 (1.91-3.10),337,95.47,3.97 (3.78-4.16)
GABA neurons expressing GLU receptors 22,714.0,0.124,16.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1316.0,0.068,7.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,168.0,0.162,67.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.026,3.0,169,8,4.73,2.43 (1.40-3.45),161,95.27,3.55 (3.32-3.77)
GABA like neurons 14,3052.0,0.143,55.0,125,3,2.4,4.27 (3.72-4.82),122,97.6,3.32 (2.99-3.65)
astrocytes 8,260.0,0.016,0.0,4,1,25.0,1.95 (NA-NA),3,75.0,2.02 (-1.43-5.47)
oligodendrocyte progenitor cells 12,3303.0,0.014,1.0,276,8,2.9,2.60 (1.69-3.50),268,97.1,3.57 (3.35-3.80)
oligodendrocytes 10,2107.0,0.061,9.0,358,13,3.63,2.51 (1.83-3.19),345,96.37,3.93 (3.73-4.13)
connective tissue cells 21,104.0,0.251,31.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.097,60.0,105,9,8.57,2.22 (1.33-3.11),96,91.43,3.31 (2.96-3.67)
oligodendrocytes 16,121.0,0.24,69.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.286,37.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.176,95.0,104,5,4.81,2.06 (0.54-3.58),99,95.19,2.91 (2.62-3.19)
oligodendrocytes 0,2078.0,0.13,82.0,238,3,1.26,1.48 (0.22-2.73),235,98.74,3.67 (3.45-3.89)
microglia 1,1615.0,0.101,37.0,161,5,3.11,1.49 (0.58-2.41),156,96.89,3.34 (3.07-3.61)
oligodendrocytes 3,639.0,0.09,45.0,15,1,6.67,2.23 (NA-NA),14,93.33,3.40 (1.93-4.88)
oligodendrocytes 2,1630.0,0.135,35.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
