tipo_celular,module_size,LIMK2_MM,LIMK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.184,64.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.2,63.0,58,2,3.45,1.33 (0.43-2.22),56,96.55,4.29 (3.89-4.70)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,599.0,0.355,94.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08)
GLU like neurons 17,685.0,0.102,30.0,135,29,21.48,2.63 (2.05-3.22),106,78.52,3.38 (3.03-3.73)
da like neurons 11,853.0,0.123,44.0,133,29,21.8,2.47 (1.88-3.06),104,78.2,3.53 (3.17-3.88)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.318,91.0,141,9,6.38,3.63 (1.99-5.27),132,93.62,2.91 (2.68-3.14)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.126,30.0,74,2,2.7,2.22 (1.63-2.82),72,97.3,2.96 (2.58-3.35)
astrocytes 8,1266.0,0.157,89.0,66,31,46.97,2.57 (2.01-3.12),35,53.03,3.91 (3.38-4.44)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,82.0,0.283,63.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,1401.0,0.143,87.0,96,26,27.08,3.98 (3.33-4.63),70,72.92,3.44 (2.86-4.03)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.186,8.0,57,11,19.3,3.17 (2.71-3.62),46,80.7,2.51 (2.08-2.94)
astrocytes 4,171.0,0.253,83.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.265,78.0,163,7,4.29,5.00 (4.48-5.52),156,95.71,3.64 (3.37-3.91)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
