tipo_celular,module_size,CROCC_MM,CROCC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.105,13.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,282.0,0.062,4.0,241,4,1.66,4.35 (2.47-6.24),237,98.34,4.05 (3.79-4.30)
astrocytes 5,932.0,0.108,48.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.117,24.0,353,31,8.78,2.41 (1.84-2.99),322,91.22,4.06 (3.87-4.24)
GABA neurons expressing GLU receptors 22,1069.0,0.306,100.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.062,6.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25)
da like neurons 11,853.0,0.099,27.0,133,12,9.02,2.03 (1.19-2.88),121,90.98,3.40 (3.07-3.72)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.103,14.0,74,11,14.86,4.58 (3.84-5.32),63,85.14,5.72 (5.06-6.38)
oligodendrocytes 20,938.0,0.058,16.0,169,16,9.47,2.81 (2.05-3.58),153,90.53,3.54 (3.32-3.77)
GABA like neurons 14,2090.0,0.178,66.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,283.0,0.032,5.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.099,54.0,235,9,3.83,3.13 (2.12-4.15),226,96.17,3.84 (3.61-4.08)
oligodendrocytes 10,1277.0,0.127,63.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106.0,0.296,51.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,367.0,0.194,81.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,155.0,0.209,45.0,8,2,25.0,2.80 (-1.89-7.49),6,75.0,2.66 (-1.77-7.09)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.252,17.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,721.0,0.165,76.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,2078.0,0.126,74.0,238,4,1.68,1.48 (0.22-2.73),234,98.32,3.67 (3.45-3.89)
microglia 1,1615.0,0.067,3.0,161,14,8.7,1.83 (0.81-2.85),147,91.3,3.43 (3.17-3.69)
oligodendrocytes 3,187.0,0.075,30.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.119,12.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
