tipo_celular,module_size,ERO1A_MM,ERO1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.236,67.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,388.0,0.137,43.0,84,1,1.19,3.70 (NA-NA),83,98.81,2.96 (2.63-3.29)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,33,9.35,1.90 (1.48-2.33),320,90.65,4.16 (3.98-4.34)
GABA neurons expressing GLU receptors 22,703.0,0.279,92.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,1316.0,0.082,14.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,145.0,0.073,5.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.165,34.0,120,11,9.17,2.66 (2.28-3.05),109,90.83,4.83 (4.52-5.15)
oligodendrocytes 20,279.0,0.194,47.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402.0,0.084,5.0,455,37,8.13,2.68 (1.99-3.37),418,91.87,4.52 (4.34-4.70)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.058,24.0,276,25,9.06,2.01 (1.67-2.35),251,90.94,3.75 (3.52-3.98)
oligodendrocytes 10,483.0,0.028,2.0,129,3,2.33,5.50 (2.77-8.23),126,97.67,3.36 (2.97-3.75)
connective tissue cells 21,100.0,0.377,90.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,74.0,0.181,39.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,448.0,0.095,42.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,127.0,0.384,87.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.096,15.0,238,7,2.94,2.48 (1.66-3.30),231,97.06,3.68 (3.45-3.90)
microglia 1,958.0,0.083,10.0,290,12,4.14,2.45 (1.12-3.79),278,95.86,3.88 (3.65-4.10)
oligodendrocytes 3,854.0,0.066,21.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14)
oligodendrocytes 2,1630.0,0.137,39.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
