tipo_celular,module_size,SEC31B_MM,SEC31B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,610.0,0.155,53.0,98,18,18.37,2.13 (1.40-2.87),80,81.63,3.37 (3.05-3.70)
astrocytes 5,1656.0,0.121,59.0,136,10,7.35,4.11 (3.50-4.71),126,92.65,3.15 (2.87-3.43)
oligodendrocyte progenitor cells 7,4285.0,0.173,95.0,353,34,9.63,2.67 (2.13-3.21),319,90.37,4.06 (3.87-4.25)
GABA neurons expressing GLU receptors 22,1069.0,0.103,10.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.116,23.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,603.0,0.043,14.0,89,1,1.12,2.97 (NA-NA),88,98.88,2.76 (2.40-3.11)
oligodendrocyte progenitor cells 12,3303.0,0.058,24.0,276,20,7.25,3.43 (2.88-3.97),256,92.75,3.55 (3.32-3.79)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.054,17.0,105,13,12.38,2.61 (1.86-3.35),92,87.62,3.31 (2.94-3.67)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.293,32.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,1807.0,0.162,81.0,104,12,11.54,2.96 (1.95-3.96),92,88.46,2.85 (2.56-3.14)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
