tipo_celular,module_size,ZNF652_MM,ZNF652_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.147,17.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,727.0,0.182,79.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141.0,0.114,27.0,166,19,11.45,1.55 (1.23-1.86),147,88.55,3.69 (3.44-3.94)
oligodendrocyte progenitor cells 7,229.0,0.145,28.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567.0,0.15,31.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.217,67.0,91,7,7.69,0.61 (0.16-1.06),84,92.31,4.99 (4.54-5.45)
da like neurons 11,408.0,0.179,53.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.22,54.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.395,67.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,2090.0,0.148,45.0,74,14,18.92,2.32 (2.02-2.62),60,81.08,3.11 (2.65-3.58)
astrocytes 8,771.0,0.27,77.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.251,84.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,236.0,0.542,66.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,92.0,0.268,39.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.081,42.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,153.0,0.314,37.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.229,37.0,47,5,10.64,1.97 (1.44-2.50),42,89.36,2.97 (2.62-3.32)
astrocytes 4,721.0,0.162,71.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,261.0,0.214,70.0,42,4,9.52,0.97 (0.80-1.14),38,90.48,4.50 (3.87-5.14)
microglia 1,1615.0,0.161,93.0,161,33,20.5,1.59 (1.31-1.87),128,79.5,3.83 (3.57-4.10)
oligodendrocytes 3,116.0,0.31,85.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,921.0,0.218,100.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90)
