tipo_celular,module_size,MPDZ_MM,MPDZ_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.196,99.0,166,5,3.01,2.06 (0.67-3.45),161,96.99,3.44 (3.19-3.69)
oligodendrocyte progenitor cells 7,448.0,0.135,46.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,703.0,0.208,62.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1316.0,0.142,67.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,94.0,0.46,96.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,288.0,0.165,48.0,93,10,10.75,3.09 (1.69-4.48),83,89.25,5.48 (5.00-5.97)
endothelial cells 9,412.0,0.168,47.0,141,4,2.84,1.53 (0.29-2.76),137,97.16,3.01 (2.77-3.25)
oligodendrocytes 20,295.0,0.145,31.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,1300.0,0.174,34.0,306,19,6.21,3.16 (2.24-4.08),287,93.79,5.29 (5.03-5.55)
astrocytes 8,771.0,0.098,41.0,48,2,4.17,3.49 (-1.81-8.80),46,95.83,4.48 (3.72-5.24)
oligodendrocyte progenitor cells 12,153.0,0.411,51.0,27,3,11.11,2.88 (0.93-4.82),24,88.89,5.32 (4.38-6.26)
oligodendrocytes 10,130.0,0.612,94.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,102.0,0.288,46.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.13,82.0,96,5,5.21,3.56 (2.62-4.50),91,94.79,3.62 (3.14-4.09)
oligodendrocytes 16,153.0,0.22,14.0,14,3,21.43,5.05 (3.68-6.41),11,78.57,4.56 (3.68-5.44)
da neurons 6,398.0,0.093,15.0,138,13,9.42,3.14 (1.87-4.40),125,90.58,5.04 (4.67-5.40)
astrocytes microglia 23,190.0,0.32,80.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,752.0,0.179,87.0,96,4,4.17,4.23 (3.47-4.99),92,95.83,3.24 (2.90-3.58)
oligodendrocytes 0,1186.0,0.14,41.0,300,3,1.0,3.36 (2.85-3.88),297,99.0,3.80 (3.59-4.01)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,44.0,0.234,42.0,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,804.0,0.169,68.0,84,6,7.14,1.78 (0.80-2.75),78,92.86,2.78 (2.43-3.13)
