tipo_celular,module_size,MAPKBP1_MM,MAPKBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.171,46.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.127,75.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.145,65.0,353,35,9.92,1.99 (1.57-2.40),318,90.08,4.17 (3.99-4.35)
GABA neurons expressing GLU receptors 22,459.0,0.127,34.0,165,9,5.45,2.15 (1.48-2.83),156,94.55,5.31 (4.98-5.64)
GLU like neurons 17,1247.0,0.23,91.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,204.0,0.284,84.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.14,26.0,120,18,15.0,3.45 (2.90-4.00),102,85.0,4.83 (4.49-5.17)
oligodendrocytes 20,403.0,0.237,86.0,18,8,44.44,0.97 (0.38-1.56),10,55.56,2.60 (1.69-3.52)
GABA like neurons 14,2090.0,0.252,95.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.099,66.0,66,21,31.82,2.11 (1.51-2.72),45,68.18,3.88 (3.43-4.32)
oligodendrocyte progenitor cells 12,3303.0,0.07,38.0,276,25,9.06,1.96 (1.59-2.34),251,90.94,3.75 (3.53-3.98)
oligodendrocytes 10,1277.0,0.118,56.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,102.0,0.361,90.0,5,3,60.0,1.38 (1.02-1.75),2,40.0,NA
astrocytes 15,443.0,0.201,82.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,61.0,0.165,30.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,42.0,0.35,49.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.19,98.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078.0,0.09,10.0,238,4,1.68,2.49 (0.86-4.12),234,98.32,3.66 (3.44-3.88)
microglia 1,1615.0,0.067,3.0,161,30,18.63,1.80 (1.37-2.22),131,81.37,3.69 (3.41-3.96)
oligodendrocytes 3,681.0,0.077,33.0,87,28,32.18,2.09 (1.70-2.47),59,67.82,2.85 (2.51-3.20)
oligodendrocytes 2,407.0,0.142,35.0,122,32,26.23,1.88 (1.49-2.26),90,73.77,4.06 (3.61-4.51)
