tipo_celular,module_size,CCT8_MM,CCT8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.214,89.0,71,10,14.08,2.36 (1.50-3.22),61,85.92,2.67 (2.21-3.14)
T cells 18,282.0,0.098,20.0,241,9,3.73,5.31 (4.07-6.56),232,96.27,4.00 (3.75-4.25)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.124,32.0,353,60,17.0,2.24 (1.90-2.58),293,83.0,4.33 (4.15-4.50)
GABA neurons expressing GLU receptors 22,400.0,0.29,89.0,24,14,58.33,1.77 (1.04-2.49),10,41.67,2.70 (2.14-3.26)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.261,73.0,410,72,17.56,4.44 (3.83-5.06),338,82.44,4.22 (4.02-4.42)
GABA neurons expressing GABA receptors 13,67.0,0.193,63.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,385.0,0.144,77.0,275,105,38.18,3.31 (2.83-3.79),170,61.82,4.36 (4.09-4.64)
oligodendrocytes 20,330.0,0.155,42.0,36,13,36.11,1.95 (1.69-2.20),23,63.89,1.90 (1.36-2.45)
GABA like neurons 14,2402.0,0.276,61.0,455,77,16.92,3.42 (2.84-3.99),378,83.08,4.52 (4.33-4.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,218.0,0.026,1.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,735.0,0.202,89.0,277,37,13.36,6.44 (5.79-7.09),240,86.64,3.76 (3.52-4.00)
connective tissue cells 21,84.0,0.291,56.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,74.0,0.137,22.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,409.0,0.185,75.0,235,64,27.23,4.86 (4.29-5.44),171,72.77,3.74 (3.47-4.00)
astrocytes microglia 23,45.0,0.363,66.0,8,0,0.0,NA,8,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.107,14.0,127,46,36.22,3.03 (2.46-3.59),81,63.78,3.06 (2.52-3.60)
microglia 1,406.0,0.085,7.0,278,5,1.8,4.05 (1.83-6.28),273,98.2,4.36 (4.09-4.64)
oligodendrocytes 3,457.0,0.084,31.0,345,89,25.8,4.65 (4.18-5.11),256,74.2,4.18 (3.95-4.41)
oligodendrocytes 2,1630.0,0.156,79.0,154,2,1.3,3.03 (2.40-3.66),152,98.7,3.25 (2.98-3.52)
