tipo_celular,module_size,RPS27_MM,RPS27_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.612,100.0,98,37,37.76,3.57 (2.86-4.28),61,62.24,2.93 (2.31-3.55)
T cells 18,506.0,0.441,90.0,225,41,18.22,3.63 (2.98-4.27),184,81.78,3.61 (3.34-3.87)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.557,96.0,302,17,5.63,4.19 (3.06-5.32),285,94.37,3.97 (3.74-4.20)
oligodendrocytes 20,938.0,0.203,82.0,169,23,13.61,3.33 (2.60-4.07),146,86.39,3.51 (3.28-3.73)
GABA like neurons 14,2402.0,0.476,86.0,455,51,11.21,2.78 (2.25-3.30),404,88.79,4.60 (4.42-4.79)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,483.0,0.37,87.0,129,26,20.16,4.69 (3.99-5.39),103,79.84,3.13 (2.70-3.56)
connective tissue cells 21,301.0,0.365,48.0,158,26,16.46,3.65 (2.87-4.44),132,83.54,4.41 (4.00-4.82)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,107.0,0.267,80.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.363,70.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.21,69.0,252,50,19.84,2.95 (2.35-3.55),202,80.16,4.43 (4.18-4.67)
microglia 1,406.0,0.5,88.0,278,18,6.47,4.16 (3.43-4.88),260,93.53,4.37 (4.09-4.66)
oligodendrocytes 3,303.0,0.216,77.0,154,22,14.29,4.61 (3.88-5.34),132,85.71,3.47 (3.13-3.81)
oligodendrocytes 2,526.0,0.332,71.0,213,16,7.51,4.38 (3.59-5.18),197,92.49,3.95 (3.66-4.24)
