tipo_celular,module_size,WIPF1_MM,WIPF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.056,2.0,73,1,1.37,NA,72,98.63,3.56 (3.22-3.91)
T cells 18,388.0,0.183,67.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,423.0,0.073,1.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,448.0,0.116,30.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.342,87.0,91,18,19.78,2.52 (1.48-3.56),73,80.22,5.12 (4.61-5.62)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.14,60.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,358.0,0.095,28.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.061,3.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.166,60.0,48,3,6.25,5.69 (5.36-6.03),45,93.75,4.32 (3.52-5.13)
oligodendrocyte progenitor cells 12,103.0,0.393,22.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,2107.0,0.236,79.0,358,14,3.91,1.42 (0.89-1.96),344,96.09,4.00 (3.81-4.18)
connective tissue cells 21,145.0,0.153,2.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.098,61.0,96,15,15.62,4.31 (3.43-5.19),81,84.38,3.46 (2.96-3.97)
oligodendrocytes 16,199.0,0.175,59.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.203,17.0,99,1,1.01,5.72 (NA-NA),98,98.99,4.28 (3.95-4.62)
astrocytes 4,787.0,0.108,3.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,309.0,0.173,79.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,315.0,0.156,42.0,144,4,2.78,6.34 (5.05-7.63),140,97.22,4.40 (4.09-4.71)
oligodendrocytes 3,639.0,0.166,86.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,804.0,0.225,98.0,84,6,7.14,1.86 (0.75-2.97),78,92.86,2.77 (2.42-3.12)
