tipo_celular,module_size,SYN3_MM,SYN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.111,18.0,353,23,6.52,1.88 (1.38-2.37),330,93.48,4.08 (3.89-4.26)
GABA neurons expressing GLU receptors 22,459.0,0.261,83.0,165,7,4.24,2.06 (1.20-2.92),158,95.76,5.26 (4.93-5.59)
GLU like neurons 17,1247.0,0.257,95.0,51,5,9.8,3.77 (1.81-5.74),46,90.2,3.61 (3.00-4.22)
da like neurons 11,853.0,0.15,62.0,133,9,6.77,1.40 (0.53-2.27),124,93.23,3.41 (3.10-3.73)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.094,16.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.349,96.0,306,23,7.52,3.16 (2.43-3.90),283,92.48,5.32 (5.06-5.59)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.116,87.0,276,18,6.52,2.34 (1.88-2.80),258,93.48,3.65 (3.43-3.88)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,84.0,0.165,4.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.371,74.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
