tipo_celular,module_size,RNF114_MM,RNF114_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.125,25.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,610.0,0.199,79.0,98,20,20.41,2.49 (1.90-3.07),78,79.59,3.30 (2.94-3.67)
astrocytes 5,1656.0,0.121,60.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.13,42.0,353,34,9.63,2.79 (2.25-3.33),319,90.37,4.02 (3.82-4.21)
GABA neurons expressing GLU receptors 22,599.0,0.289,83.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,380.0,0.195,67.0,39,9,23.08,3.77 (3.66-3.89),30,76.92,2.80 (2.16-3.45)
da like neurons 11,145.0,0.067,3.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.07,14.0,275,16,5.82,2.38 (1.67-3.08),259,94.18,4.10 (3.83-4.36)
oligodendrocytes 20,330.0,0.137,33.0,36,2,5.56,2.44 (-0.37-5.25),34,94.44,1.89 (1.54-2.23)
GABA like neurons 14,2402.0,0.094,7.0,455,19,4.18,2.86 (2.12-3.59),436,95.82,4.43 (4.24-4.62)
astrocytes 8,771.0,0.068,24.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,1049.0,0.052,17.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,2107.0,0.083,19.0,358,34,9.5,2.79 (2.25-3.33),324,90.5,3.99 (3.79-4.19)
connective tissue cells 21,139.0,0.385,93.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,268.0,0.084,49.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,75.0,0.182,42.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,126.0,0.424,90.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,1807.0,0.152,63.0,104,17,16.35,2.34 (1.76-2.92),87,83.65,2.97 (2.66-3.29)
oligodendrocytes 0,613.0,0.131,39.0,127,1,0.79,1.01 (NA-NA),126,99.21,3.08 (2.66-3.49)
microglia 1,958.0,0.104,41.0,290,4,1.38,3.25 (2.40-4.09),286,98.62,3.82 (3.59-4.06)
oligodendrocytes 3,743.0,0.084,54.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.173,96.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
