tipo_celular,module_size,DAAM2_MM,DAAM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,117.0,0.381,98.0,28,7,25.0,4.40 (3.12-5.68),21,75.0,5.66 (5.08-6.25)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.522,91.0,62,7,11.29,4.60 (3.40-5.79),55,88.71,3.96 (3.48-4.45)
oligodendrocytes 20,676.0,0.277,51.0,110,34,30.91,4.05 (3.48-4.63),76,69.09,5.61 (5.04-6.19)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,279.0,0.223,28.0,78,22,28.21,3.27 (2.68-3.85),56,71.79,4.83 (4.34-5.31)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,236.0,0.524,59.0,82,30,36.59,5.00 (4.37-5.64),52,63.41,4.99 (4.21-5.77)
connective tissue cells 21,106.0,0.236,34.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,418.0,0.568,96.0,54,2,3.7,3.44 (3.37-3.51),52,96.3,3.69 (3.24-4.15)
oligodendrocytes 16,287.0,0.43,84.0,105,46,43.81,4.58 (4.01-5.15),59,56.19,5.82 (5.17-6.46)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,89.0,0.291,58.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,251.0,0.254,90.0,34,3,8.82,3.57 (1.31-5.84),31,91.18,5.48 (4.89-6.06)
oligodendrocytes 0,261.0,0.161,36.0,42,19,45.24,3.83 (2.74-4.92),23,54.76,4.32 (3.49-5.16)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,99.0,0.23,50.0,24,1,4.17,6.33 (NA-NA),23,95.83,6.51 (5.77-7.24)
oligodendrocytes 2,237.0,0.3,81.0,26,3,11.54,NA,23,88.46,5.22 (4.28-6.15)
