tipo_celular,module_size,MALT1_MM,MALT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.341,89.0,102,50,49.02,2.88 (2.53-3.23),52,50.98,4.16 (3.56-4.75)
T cells 18,518.0,0.22,83.0,131,3,2.29,4.68 (1.07-8.28),128,97.71,3.03 (2.76-3.30)
astrocytes 5,1656.0,0.137,82.0,136,6,4.41,1.97 (1.31-2.62),130,95.59,3.27 (3.00-3.55)
oligodendrocyte progenitor cells 7,4285.0,0.181,98.0,353,71,20.11,2.37 (2.07-2.67),282,79.89,4.40 (4.22-4.58)
GABA neurons expressing GLU receptors 22,567.0,0.203,54.0,16,3,18.75,2.54 (1.95-3.14),13,81.25,1.82 (0.99-2.64)
GLU like neurons 17,795.0,0.069,9.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,209.0,0.192,58.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.153,39.0,141,12,8.51,2.61 (1.82-3.40),129,91.49,3.00 (2.75-3.25)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.18,83.0,125,7,5.6,3.90 (3.16-4.64),118,94.4,3.33 (2.99-3.66)
astrocytes 8,140.0,0.127,49.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.036,5.0,276,66,23.91,2.45 (2.18-2.72),210,76.09,4.00 (3.74-4.25)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,104.0,0.353,83.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1768.0,0.074,38.0,105,31,29.52,2.33 (1.92-2.74),74,70.48,3.63 (3.21-4.05)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.378,70.0,120,63,52.5,3.34 (2.95-3.72),57,47.5,4.08 (3.62-4.53)
astrocytes 4,1807.0,0.154,67.0,104,33,31.73,2.07 (1.72-2.42),71,68.27,3.28 (2.93-3.62)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.412,97.0,163,37,22.7,4.32 (3.92-4.73),126,77.3,3.50 (3.18-3.82)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
