tipo_celular,module_size,KIAA1549_MM,KIAA1549_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.114,57.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.127,37.0,353,3,0.85,0.45 (0.32-0.59),350,99.15,3.91 (3.73-4.10)
GABA neurons expressing GLU receptors 22,1069.0,0.174,57.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,489.0,0.132,45.0,42,3,7.14,4.33 (4.33-4.33),39,92.86,6.11 (5.54-6.68)
da like neurons 11,140.0,0.279,67.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.284,74.0,120,2,1.67,2.53 (2.34-2.73),118,98.33,4.65 (4.33-4.96)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.251,94.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,283.0,0.182,73.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.145,63.0,32,2,6.25,0.45 (0.32-0.59),30,93.75,3.46 (2.65-4.27)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.199,82.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,78.0,0.361,72.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54)
astrocytes 4,787.0,0.145,38.0,65,2,3.08,4.33 (NA-NA),63,96.92,2.94 (2.54-3.33)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
