tipo_celular,module_size,MKRN3_MM,MKRN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.105,10.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.119,26.0,353,28,7.93,2.41 (1.80-3.02),325,92.07,4.02 (3.83-4.21)
GABA neurons expressing GLU receptors 22,599.0,0.265,75.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.423,94.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.116,48.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.087,38.0,32,1,3.12,3.56 (NA-NA),31,96.88,3.23 (2.40-4.07)
oligodendrocytes 10,1277.0,0.19,88.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.08,41.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,61.0,0.151,20.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.312,50.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.104,4.0,104,18,17.31,1.92 (1.43-2.42),86,82.69,3.08 (2.77-3.39)
oligodendrocytes 0,309.0,0.131,48.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.123,70.0,15,3,20.0,2.81 (2.40-3.22),12,80.0,3.47 (1.68-5.25)
oligodendrocytes 2,237.0,0.111,4.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
