tipo_celular,module_size,DNM1_MM,DNM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,228.0,0.289,86.0,266,51,19.17,3.03 (2.52-3.54),215,80.83,4.38 (4.17-4.59)
oligodendrocyte progenitor cells 7,296.0,0.195,58.0,251,17,6.77,4.70 (3.89-5.50),234,93.23,4.03 (3.78-4.28)
GABA neurons expressing GLU receptors 22,848.0,0.136,17.0,262,47,17.94,3.19 (2.67-3.71),215,82.06,4.37 (4.10-4.64)
GLU like neurons 17,1247.0,0.305,99.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,853.0,0.164,70.0,133,12,9.02,1.57 (0.66-2.48),121,90.98,3.45 (3.14-3.77)
GABA neurons expressing GABA receptors 13,357.0,0.424,99.0,237,11,4.64,2.96 (2.38-3.54),226,95.36,4.49 (4.26-4.73)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,295.0,0.159,39.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2402.0,0.094,7.0,455,44,9.67,2.61 (2.09-3.12),411,90.33,4.52 (4.33-4.70)
astrocytes 8,520.0,0.354,92.0,288,45,15.62,3.72 (3.18-4.26),243,84.38,4.25 (4.03-4.46)
oligodendrocyte progenitor cells 12,3303.0,0.118,88.0,276,29,10.51,3.00 (2.43-3.58),247,89.49,3.62 (3.39-3.86)
oligodendrocytes 10,806.0,0.359,86.0,261,46,17.62,3.81 (3.30-4.33),215,82.38,4.47 (4.20-4.74)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.037,17.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,313.0,0.374,84.0,291,45,15.46,3.49 (3.01-3.98),246,84.54,4.49 (4.24-4.73)
da neurons 6,300.0,0.452,99.0,159,9,5.66,5.73 (4.65-6.82),150,94.34,4.29 (3.98-4.61)
astrocytes microglia 23,70.0,0.304,45.0,76,11,14.47,4.87 (4.39-5.35),65,85.53,4.06 (3.46-4.67)
astrocytes 4,157.0,0.208,62.0,178,37,20.79,3.19 (2.54-3.84),141,79.21,4.41 (4.13-4.69)
oligodendrocytes 0,116.0,0.155,47.0,169,11,6.51,4.27 (3.29-5.25),158,93.49,4.28 (3.96-4.59)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.226,86.0,345,61,17.68,3.45 (3.09-3.81),284,82.32,4.47 (4.23-4.70)
oligodendrocytes 2,99.0,0.271,56.0,116,3,2.59,5.78 (5.38-6.17),113,97.41,3.91 (3.61-4.21)
