tipo_celular,module_size,FYCO1_MM,FYCO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,624.0,0.156,53.0,142,1,0.7,3.79 (NA-NA),141,99.3,3.20 (2.94-3.47)
astrocytes 5,1656.0,0.112,44.0,136,1,0.74,3.31 (NA-NA),135,99.26,3.21 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.126,36.0,353,35,9.92,2.91 (2.23-3.59),318,90.08,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.044,1.0,297,2,0.67,4.68 (2.94-6.43),295,99.33,3.66 (3.46-3.87)
oligodendrocytes 20,330.0,0.358,95.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,354.0,0.108,43.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.062,30.0,276,28,10.14,3.13 (2.52-3.73),248,89.86,3.60 (3.37-3.84)
oligodendrocytes 10,2107.0,0.16,55.0,358,34,9.5,2.46 (1.78-3.14),324,90.5,4.06 (3.87-4.24)
connective tissue cells 21,100.0,0.359,83.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.231,90.0,14,4,28.57,1.41 (-0.39-3.21),10,71.43,2.62 (0.92-4.32)
oligodendrocytes 16,92.0,0.306,94.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.333,71.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,1807.0,0.119,11.0,104,8,7.69,1.76 (0.79-2.74),96,92.31,2.96 (2.68-3.25)
oligodendrocytes 0,2078.0,0.123,68.0,238,13,5.46,3.86 (2.68-5.03),225,94.54,3.62 (3.40-3.85)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.073,29.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,1630.0,0.134,33.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
