tipo_celular,module_size,ZFP30_MM,ZFP30_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.119,55.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.142,60.0,353,34,9.63,1.57 (1.30-1.84),319,90.37,4.22 (4.05-4.39)
GABA neurons expressing GLU receptors 22,1069.0,0.237,90.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69)
GLU like neurons 17,1316.0,0.097,25.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,853.0,0.109,34.0,133,37,27.82,1.84 (1.55-2.13),96,72.18,3.94 (3.59-4.29)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.052,13.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75)
GABA like neurons 14,3052.0,0.132,43.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,218.0,0.032,6.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.06,26.0,276,28,10.14,1.68 (1.46-1.90),248,89.86,3.83 (3.61-4.05)
oligodendrocytes 10,1277.0,0.058,16.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,112.0,0.136,8.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06)
astrocytes 15,1768.0,0.075,38.0,105,11,10.48,1.06 (0.82-1.31),94,89.52,3.49 (3.15-3.82)
oligodendrocytes 16,74.0,0.195,53.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.308,43.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,1807.0,0.171,91.0,104,17,16.35,1.26 (1.00-1.53),87,83.65,3.21 (2.92-3.49)
oligodendrocytes 0,2078.0,0.107,36.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.077,34.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,1630.0,0.146,60.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
