tipo_celular,module_size,ZNF318_MM,ZNF318_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.083,8.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.145,66.0,353,50,14.16,2.09 (1.79-2.39),303,85.84,4.30 (4.12-4.48)
GABA neurons expressing GLU receptors 22,1069.0,0.288,99.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69)
GLU like neurons 17,380.0,0.131,23.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,853.0,0.056,2.0,133,43,32.33,2.23 (1.87-2.58),90,67.67,3.89 (3.50-4.28)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.048,21.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66)
GABA like neurons 14,2090.0,0.153,50.0,74,11,14.86,2.10 (1.87-2.33),63,85.14,3.12 (2.68-3.55)
astrocytes 8,262.0,0.128,47.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.052,17.0,276,41,14.86,2.08 (1.84-2.32),235,85.14,3.89 (3.65-4.12)
oligodendrocytes 10,1277.0,0.056,15.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,125.0,0.338,67.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,367.0,0.206,85.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,66.0,0.088,2.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.317,50.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,787.0,0.17,82.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.125,72.0,238,14,5.88,2.49 (2.03-2.96),224,94.12,3.72 (3.49-3.95)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.075,29.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.148,64.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
