tipo_celular,module_size,ME1_MM,ME1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.178,94.0,166,12,7.23,1.55 (1.02-2.08),154,92.77,3.57 (3.32-3.82)
oligodendrocyte progenitor cells 7,666.0,0.217,78.0,127,9,7.09,3.06 (1.74-4.38),118,92.91,3.91 (3.57-4.26)
GABA neurons expressing GLU receptors 22,203.0,0.193,20.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,229.0,0.155,25.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,77.0,0.531,100.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
GABA neurons expressing GABA receptors 13,90.0,0.143,36.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.158,64.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57)
GABA like neurons 14,1300.0,0.22,56.0,306,8,2.61,1.48 (0.78-2.18),298,97.39,5.24 (4.99-5.49)
astrocytes 8,262.0,0.296,96.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.131,94.0,276,29,10.51,2.19 (1.82-2.56),247,89.49,3.74 (3.51-3.97)
oligodendrocytes 10,806.0,0.138,43.0,261,10,3.83,2.77 (2.31-3.23),251,96.17,4.44 (4.19-4.69)
connective tissue cells 21,77.0,0.253,37.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60)
astrocytes 15,1768.0,0.193,99.0,105,11,10.48,1.35 (0.94-1.75),94,89.52,3.45 (3.11-3.79)
oligodendrocytes 16,121.0,0.186,30.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,518.0,0.13,70.0,122,16,13.11,2.03 (1.46-2.61),106,86.89,4.39 (3.99-4.80)
astrocytes microglia 23,166.0,0.458,96.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,255.0,0.132,16.0,12,1,8.33,5.51 (NA-NA),11,91.67,4.44 (3.48-5.41)
oligodendrocytes 0,309.0,0.143,60.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.114,40.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.177,41.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
