tipo_celular,module_size,RIMS2_MM,RIMS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.103,31.0,219,38,17.35,5.33 (4.76-5.90),181,82.65,5.18 (4.84-5.51)
GABA neurons expressing GLU receptors 22,459.0,0.216,71.0,165,26,15.76,3.53 (2.83-4.23),139,84.24,5.47 (5.12-5.83)
GLU like neurons 17,795.0,0.474,99.0,80,11,13.75,4.81 (3.43-6.20),69,86.25,5.83 (5.41-6.24)
da like neurons 11,197.0,0.457,100.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,80.0,0.164,45.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.148,66.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.168,31.0,306,81,26.47,4.39 (3.88-4.90),225,73.53,5.46 (5.17-5.74)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411.0,0.33,78.0,103,19,18.45,5.39 (4.54-6.24),84,81.55,5.59 (5.16-6.03)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.095,25.0,124,5,4.03,3.67 (0.11-7.23),119,95.97,4.20 (3.81-4.59)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
