tipo_celular,module_size,DAG1_MM,DAG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.095,13.0,128,2,1.56,3.83 (2.14-5.53),126,98.44,3.56 (3.22-3.91)
oligodendrocyte progenitor cells 7,628.0,0.123,19.0,164,9,5.49,4.01 (3.05-4.97),155,94.51,4.09 (3.74-4.44)
GABA neurons expressing GLU receptors 22,1069.0,0.255,95.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,1247.0,0.096,22.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.093,21.0,133,19,14.29,1.87 (1.28-2.46),114,85.71,3.53 (3.20-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.082,14.0,155,5,3.23,4.55 (4.24-4.86),150,96.77,4.33 (3.95-4.71)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.124,29.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,354.0,0.053,12.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.066,34.0,276,22,7.97,2.12 (1.63-2.61),254,92.03,3.71 (3.48-3.93)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106.0,0.201,19.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1768.0,0.089,51.0,105,19,18.1,1.82 (1.38-2.25),86,81.9,3.55 (3.19-3.92)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,39.0,0.294,32.0,3,0,0.0,NA,3,100.0,7.74 (6.69-8.80)
astrocytes 4,721.0,0.144,36.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
