tipo_celular,module_size,SEC16A_MM,SEC16A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.176,64.0,71,11,15.49,3.22 (2.14-4.29),60,84.51,2.52 (2.07-2.96)
T cells 18,477.0,0.123,23.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.102,28.0,136,10,7.35,3.76 (3.34-4.18),126,92.65,3.17 (2.88-3.46)
oligodendrocyte progenitor cells 7,4285.0,0.152,75.0,353,38,10.76,2.87 (2.32-3.43),315,89.24,4.05 (3.86-4.24)
GABA neurons expressing GLU receptors 22,714.0,0.148,31.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.07,6.0,133,10,7.52,1.68 (0.82-2.54),123,92.48,3.41 (3.09-3.73)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.057,2.0,141,6,4.26,2.80 (1.78-3.81),135,95.74,2.97 (2.72-3.22)
oligodendrocytes 20,358.0,0.239,81.0,31,5,16.13,3.58 (3.19-3.96),26,83.87,2.12 (1.66-2.57)
GABA like neurons 14,3052.0,0.163,70.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.036,7.0,89,2,2.25,4.34 (1.32-7.36),87,97.75,2.71 (2.36-3.06)
oligodendrocyte progenitor cells 12,3303.0,0.1,74.0,276,23,8.33,3.43 (2.85-4.02),253,91.67,3.55 (3.32-3.79)
oligodendrocytes 10,735.0,0.058,18.0,277,5,1.81,5.90 (4.70-7.11),272,98.19,3.84 (3.60-4.08)
connective tissue cells 21,85.0,0.336,67.0,3,1,33.33,NA,2,66.67,1.74 (1.73-1.75)
astrocytes 15,377.0,0.142,43.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,155.0,0.326,93.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,103.0,0.296,40.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.156,71.0,104,18,17.31,2.99 (2.32-3.65),86,82.69,2.84 (2.52-3.15)
oligodendrocytes 0,2078.0,0.107,35.0,238,12,5.04,3.54 (2.57-4.51),226,94.96,3.64 (3.42-3.87)
microglia 1,480.0,0.144,26.0,163,1,0.61,1.94 (NA-NA),162,99.39,3.72 (3.45-3.99)
oligodendrocytes 3,681.0,0.058,15.0,87,6,6.9,1.65 (0.60-2.70),81,93.1,2.66 (2.38-2.93)
oligodendrocytes 2,1630.0,0.16,85.0,154,3,1.95,5.02 (NA-NA),151,98.05,3.23 (2.97-3.50)
