tipo_celular,module_size,SLC1A3_MM,SLC1A3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.243,54.0,140,4,2.86,2.42 (2.39-2.45),136,97.14,4.61 (4.33-4.89)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,117.0,0.253,82.0,28,7,25.0,3.90 (2.88-4.93),21,75.0,5.85 (5.32-6.39)
oligodendrocyte progenitor cells 7,200.0,0.238,75.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.639,100.0,135,5,3.7,1.82 (0.70-2.94),130,96.3,3.25 (2.94-3.56)
da like neurons 11,408.0,0.37,82.0,25,9,36.0,4.30 (1.81-6.80),16,64.0,4.82 (3.30-6.34)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.573,95.0,62,3,4.84,4.14 (2.24-6.05),59,95.16,4.04 (3.58-4.51)
oligodendrocytes 20,295.0,0.195,52.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.009,1.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,279.0,0.165,11.0,78,7,8.97,3.56 (2.05-5.06),71,91.03,4.40 (3.98-4.83)
oligodendrocyte progenitor cells 12,143.0,0.385,23.0,1,1,100.0,7.70 (NA-NA),0,0.0,NA
oligodendrocytes 10,2107.0,0.355,95.0,358,13,3.63,0.93 (0.39-1.47),345,96.37,4.01 (3.83-4.19)
connective tissue cells 21,183.0,0.167,9.0,32,4,12.5,5.03 (1.86-8.19),28,87.5,5.13 (4.53-5.74)
astrocytes 15,418.0,0.072,40.0,54,21,38.89,3.48 (2.89-4.06),33,61.11,3.83 (3.20-4.45)
oligodendrocytes 16,108.0,0.441,98.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,112.0,0.189,6.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,161.0,0.182,52.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,479.0,0.159,58.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,346.0,0.216,80.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,1003.0,0.165,89.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,237.0,0.213,49.0,26,1,3.85,NA,25,96.15,5.22 (4.28-6.15)
