tipo_celular,module_size,NDUFAF5_MM,NDUFAF5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.176,59.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.125,67.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.139,56.0,353,23,6.52,1.47 (1.08-1.86),330,93.48,4.11 (3.94-4.29)
GABA neurons expressing GLU receptors 22,714.0,0.232,74.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,489.0,0.161,62.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,191.0,0.08,2.0,93,1,1.08,1.29 (NA-NA),92,98.92,5.71 (5.32-6.10)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.167,73.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,140.0,0.036,8.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.054,19.0,276,12,4.35,1.92 (1.40-2.44),264,95.65,3.64 (3.42-3.86)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.049,18.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.253,14.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,1807.0,0.181,97.0,104,10,9.62,1.41 (0.77-2.06),94,90.38,3.03 (2.75-3.32)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.106,36.0,79,1,1.27,1.74 (NA-NA),78,98.73,3.12 (2.71-3.53)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
