tipo_celular,module_size,MAML3_MM,MAML3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.233,51.0,140,5,3.57,2.19 (1.84-2.53),135,96.43,4.66 (4.38-4.94)
T cells 18,610.0,0.177,69.0,98,35,35.71,2.04 (1.62-2.45),63,64.29,3.77 (3.43-4.11)
astrocytes 5,499.0,0.17,55.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,229.0,0.214,59.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,203.0,0.131,8.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,489.0,0.17,67.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,408.0,0.226,62.0,25,6,24.0,1.31 (0.53-2.09),19,76.0,6.03 (4.79-7.27)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.205,57.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,233.0,0.277,81.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.181,83.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.23,95.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708.0,0.164,70.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.558,100.0,358,58,16.2,2.05 (1.77-2.34),300,83.8,4.33 (4.15-4.52)
connective tissue cells 21,93.0,0.333,77.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,377.0,0.152,50.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,108.0,0.244,74.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.456,92.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,752.0,0.116,7.0,96,8,8.33,2.56 (2.19-2.93),88,91.67,3.37 (3.01-3.73)
oligodendrocytes 0,187.0,0.222,74.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,315.0,0.245,78.0,144,1,0.69,1.62 (NA-NA),143,99.31,4.48 (4.18-4.79)
oligodendrocytes 3,187.0,0.155,77.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,347.0,0.201,53.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
