tipo_celular,module_size,CAP1_MM,CAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.16,23.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,393.0,0.199,72.0,59,3,5.08,4.03 (4.03-4.03),56,94.92,3.05 (2.52-3.58)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.153,32.0,251,6,2.39,NA,245,97.61,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848.0,0.159,27.0,262,28,10.69,3.34 (2.41-4.26),234,89.31,4.24 (3.98-4.49)
GLU like neurons 17,685.0,0.16,65.0,135,16,11.85,2.09 (1.26-2.92),119,88.15,3.27 (2.95-3.59)
da like neurons 11,1220.0,0.261,73.0,410,27,6.59,3.61 (2.68-4.53),383,93.41,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,80.0,0.151,36.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.18,59.0,155,5,3.23,6.10 (4.32-7.87),150,96.77,4.30 (3.94-4.67)
oligodendrocytes 20,250.0,0.138,27.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.283,63.0,455,34,7.47,2.47 (1.72-3.22),421,92.53,4.47 (4.29-4.65)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.189,73.0,32,12,37.5,1.77 (0.45-3.09),20,62.5,3.94 (3.08-4.81)
oligodendrocytes 10,735.0,0.197,87.0,277,3,1.08,NA,274,98.92,3.89 (3.65-4.14)
connective tissue cells 21,92.0,0.265,38.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,113.0,0.191,38.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,409.0,0.115,45.0,235,13,5.53,3.77 (2.68-4.86),222,94.47,3.98 (3.73-4.24)
astrocytes microglia 23,125.0,0.268,28.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.116,55.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88)
microglia 1,406.0,0.108,20.0,278,2,0.72,NA,276,99.28,4.36 (4.09-4.63)
oligodendrocytes 3,457.0,0.111,47.0,345,29,8.41,3.86 (3.20-4.52),316,91.59,4.30 (4.08-4.52)
oligodendrocytes 2,528.0,0.242,70.0,175,25,14.29,4.17 (3.54-4.80),150,85.71,4.40 (4.02-4.78)
