tipo_celular,module_size,PON2_MM,PON2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.22,57.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.175,93.0,166,2,1.2,1.54 (-0.40-3.47),164,98.8,3.42 (3.17-3.67)
oligodendrocyte progenitor cells 7,628.0,0.154,41.0,164,2,1.22,2.62 (0.01-5.24),162,98.78,4.11 (3.78-4.44)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,408.0,0.073,8.0,25,1,4.0,1.95 (NA-NA),24,96.0,4.75 (3.40-6.11)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.326,86.0,155,1,0.65,NA,154,99.35,4.34 (3.97-4.70)
oligodendrocytes 20,271.0,0.134,29.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.054,2.0,455,2,0.44,2.25 (-1.09-5.59),453,99.56,4.35 (4.17-4.54)
astrocytes 8,283.0,0.22,86.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.062,27.0,235,2,0.85,2.62 (0.01-5.24),233,99.15,3.84 (3.60-4.07)
oligodendrocytes 10,1277.0,0.088,37.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,88.0,0.235,22.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,268.0,0.135,65.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,121.0,0.141,5.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,398.0,0.082,10.0,138,1,0.72,0.55 (NA-NA),137,99.28,4.86 (4.50-5.23)
astrocytes microglia 23,166.0,0.295,54.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,220.0,0.173,56.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,613.0,0.175,77.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,127.0,0.103,15.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12)
oligodendrocytes 3,1003.0,0.125,74.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.155,28.0,114,2,1.75,2.53 (2.34-2.73),112,98.25,5.18 (4.77-5.59)
