tipo_celular,module_size,TBC1D20_MM,TBC1D20_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.179,77.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,328.0,0.078,6.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.087,4.0,353,42,11.9,2.75 (2.17-3.33),311,88.1,4.06 (3.88-4.25)
GABA neurons expressing GLU receptors 22,400.0,0.219,62.0,24,11,45.83,1.30 (0.73-1.87),13,54.17,2.88 (2.31-3.45)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,120.0,0.072,8.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.066,11.0,275,17,6.18,1.81 (0.93-2.68),258,93.82,4.14 (3.88-4.39)
oligodendrocytes 20,358.0,0.05,17.0,31,5,16.13,3.66 (3.44-3.89),26,83.87,2.10 (1.65-2.55)
GABA like neurons 14,2402.0,0.125,16.0,455,34,7.47,3.04 (2.37-3.71),421,92.53,4.48 (4.30-4.67)
astrocytes 8,603.0,0.061,35.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,1049.0,0.04,8.0,235,6,2.55,3.30 (2.32-4.29),229,97.45,3.84 (3.60-4.08)
oligodendrocytes 10,735.0,0.075,34.0,277,6,2.17,5.69 (5.03-6.36),271,97.83,3.87 (3.62-4.11)
connective tissue cells 21,139.0,0.292,52.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,377.0,0.018,1.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,84.0,0.104,4.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.449,98.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.127,20.0,104,16,15.38,2.77 (2.00-3.53),88,84.62,2.88 (2.58-3.18)
oligodendrocytes 0,2078.0,0.089,9.0,238,15,6.3,3.54 (2.55-4.53),223,93.7,3.64 (3.42-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.064,23.0,76,6,7.89,3.97 (3.56-4.39),70,92.11,3.08 (2.65-3.51)
oligodendrocytes 2,1630.0,0.136,36.0,154,2,1.3,3.57 (0.73-6.42),152,98.7,3.24 (2.97-3.51)
