tipo_celular,module_size,SSBP4_MM,SSBP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.17,24.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,506.0,0.181,49.0,225,6,2.67,1.43 (1.02-1.84),219,97.33,3.69 (3.44-3.94)
astrocytes 5,1656.0,0.087,11.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,192.0,0.127,49.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.074,8.0,133,30,22.56,1.66 (1.37-1.94),103,77.44,3.83 (3.50-4.17)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.135,27.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.23,50.0,455,12,2.64,0.78 (0.56-1.00),443,97.36,4.48 (4.30-4.65)
astrocytes 8,1266.0,0.078,47.0,66,9,13.64,1.14 (0.42-1.86),57,86.36,3.62 (3.23-4.01)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.336,75.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.123,78.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.305,40.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,1807.0,0.156,71.0,104,16,15.38,1.29 (1.00-1.59),88,84.62,3.18 (2.89-3.46)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.076,6.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
