tipo_celular,module_size,SELENOK_MM,SELENOK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.22,76.0,164,7,4.27,3.46 (2.75-4.17),157,95.73,4.12 (3.78-4.47)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417.0,0.178,61.0,213,15,7.04,1.34 (0.47-2.21),198,92.96,4.00 (3.78-4.22)
endothelial cells 9,916.0,0.303,72.0,302,11,3.64,3.38 (2.21-4.55),291,96.36,4.01 (3.78-4.24)
oligodendrocytes 20,233.0,0.133,19.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2402.0,0.526,90.0,455,23,5.05,2.13 (1.40-2.87),432,94.95,4.51 (4.33-4.69)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.238,88.0,235,8,3.4,3.77 (2.92-4.63),227,96.6,3.83 (3.59-4.07)
oligodendrocytes 10,735.0,0.166,81.0,277,1,0.36,5.88 (NA-NA),276,99.64,3.88 (3.64-4.13)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,96.0,0.24,58.0,102,10,9.8,1.38 (0.81-1.96),92,90.2,3.61 (3.29-3.93)
da neurons 6,729.0,0.137,41.0,182,2,1.1,1.37 (1.27-1.47),180,98.9,3.67 (3.42-3.92)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.125,24.0,252,24,9.52,2.23 (1.53-2.93),228,90.48,4.36 (4.12-4.60)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.115,41.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.212,34.0,213,1,0.47,7.18 (NA-NA),212,99.53,3.96 (3.69-4.23)
