tipo_celular,module_size,MCC_MM,MCC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.209,78.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,222.0,0.256,71.0,98,3,3.06,2.79 (0.30-5.28),95,96.94,4.67 (4.26-5.07)
oligodendrocyte progenitor cells 7,200.0,0.359,93.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,599.0,0.362,95.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,795.0,0.149,59.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19)
da like neurons 11,71.0,0.482,93.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.279,73.0,120,26,21.67,3.59 (3.14-4.04),94,78.33,4.94 (4.58-5.31)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.2,92.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,279.0,0.299,63.0,78,17,21.79,3.33 (2.61-4.05),61,78.21,4.65 (4.18-5.12)
oligodendrocyte progenitor cells 12,3303.0,0.12,89.0,276,13,4.71,2.09 (1.53-2.65),263,95.29,3.64 (3.41-3.86)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,147.0,0.221,44.0,4,2,50.0,5.73 (5.42-6.03),2,50.0,4.95 (4.74-5.17)
astrocytes 15,418.0,0.485,89.0,54,3,5.56,2.72 (1.32-4.13),51,94.44,3.75 (3.29-4.20)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.149,80.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,122.0,0.295,53.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,161.0,0.143,27.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
