tipo_celular,module_size,CEP295_MM,CEP295_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.09,6.0,102,24,23.53,2.23 (1.79-2.68),78,76.47,3.91 (3.50-4.33)
T cells 18,610.0,0.091,10.0,98,22,22.45,1.95 (1.46-2.45),76,77.55,3.51 (3.17-3.85)
astrocytes 5,1656.0,0.132,77.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.129,40.0,353,39,11.05,2.33 (1.88-2.78),314,88.95,4.13 (3.95-4.32)
GABA neurons expressing GLU receptors 22,203.0,0.201,26.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1247.0,0.133,50.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25)
da like neurons 11,132.0,0.073,4.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.098,25.0,297,8,2.69,3.68 (2.90-4.46),289,97.31,3.67 (3.47-3.88)
oligodendrocytes 20,676.0,0.105,34.0,110,16,14.55,2.90 (1.99-3.81),94,85.45,5.41 (4.97-5.85)
GABA like neurons 14,3052.0,0.109,25.0,125,5,4.0,3.79 (2.91-4.68),120,96.0,3.34 (3.01-3.67)
astrocytes 8,1266.0,0.024,1.0,66,19,28.79,2.23 (1.52-2.95),47,71.21,3.65 (3.19-4.11)
oligodendrocyte progenitor cells 12,708.0,0.079,34.0,32,10,31.25,2.15 (1.25-3.04),22,68.75,3.86 (2.79-4.93)
oligodendrocytes 10,2107.0,0.147,50.0,358,45,12.57,2.29 (1.83-2.74),313,87.43,4.16 (3.97-4.35)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.081,45.0,96,20,20.83,3.64 (2.94-4.34),76,79.17,3.60 (3.05-4.16)
oligodendrocytes 16,78.0,0.22,65.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,78.0,0.316,42.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.149,58.0,104,10,9.62,1.70 (0.98-2.43),94,90.38,3.00 (2.71-3.29)
oligodendrocytes 0,2078.0,0.106,33.0,238,8,3.36,2.27 (1.54-3.01),230,96.64,3.69 (3.46-3.91)
microglia 1,1615.0,0.116,59.0,161,23,14.29,1.96 (1.34-2.59),138,85.71,3.53 (3.26-3.81)
oligodendrocytes 3,357.0,0.08,38.0,127,1,0.79,5.19 (NA-NA),126,99.21,3.10 (2.77-3.43)
oligodendrocytes 2,1630.0,0.132,31.0,154,2,1.3,3.42 (2.03-4.82),152,98.7,3.24 (2.97-3.51)
