tipo_celular,module_size,RGS6_MM,RGS6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.275,77.0,98,1,1.02,0.79 (NA-NA),97,98.98,4.65 (4.24-5.05)
oligodendrocyte progenitor cells 7,200.0,0.489,99.0,16,3,18.75,3.41 (1.69-5.13),13,81.25,4.07 (3.12-5.02)
GABA neurons expressing GLU receptors 22,823.0,0.263,90.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,795.0,0.262,89.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19)
da like neurons 11,191.0,0.548,96.0,93,6,6.45,3.00 (1.85-4.15),87,93.55,5.85 (5.47-6.24)
GABA neurons expressing GABA receptors 13,288.0,0.127,23.0,93,13,13.98,3.12 (2.20-4.04),80,86.02,5.56 (5.05-6.07)
endothelial cells 9,303.0,0.459,94.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.132,17.0,306,26,8.5,3.11 (2.41-3.81),280,91.5,5.37 (5.11-5.63)
astrocytes 8,1266.0,0.232,97.0,66,22,33.33,2.38 (1.68-3.08),44,66.67,3.76 (3.31-4.20)
oligodendrocyte progenitor cells 12,3303.0,0.114,85.0,276,13,4.71,1.90 (1.42-2.38),263,95.29,3.65 (3.43-3.87)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,84.0,0.434,94.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,418.0,0.332,76.0,54,9,16.67,4.04 (3.12-4.96),45,83.33,3.61 (3.12-4.10)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,398.0,0.096,18.0,138,27,19.57,3.74 (2.88-4.60),111,80.43,5.15 (4.77-5.53)
astrocytes microglia 23,122.0,0.294,51.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,514.0,0.33,90.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
