tipo_celular,module_size,EGFR_MM,EGFR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.361,92.0,98,17,17.35,4.72 (3.73-5.71),81,82.65,4.57 (4.12-5.01)
oligodendrocyte progenitor cells 7,436.0,0.075,15.0,219,25,11.42,4.17 (3.69-4.65),194,88.58,5.37 (5.05-5.68)
GABA neurons expressing GLU receptors 22,823.0,0.426,100.0,23,7,30.43,3.34 (2.45-4.23),16,69.57,1.80 (0.90-2.69)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.202,90.0,297,21,7.07,3.76 (3.36-4.16),276,92.93,3.67 (3.45-3.89)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,279.0,0.346,86.0,78,36,46.15,3.73 (3.19-4.26),42,53.85,4.85 (4.28-5.43)
oligodendrocyte progenitor cells 12,254.0,0.508,99.0,37,22,59.46,3.85 (3.26-4.44),15,40.54,5.68 (4.78-6.58)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,183.0,0.294,59.0,32,4,12.5,4.61 (2.07-7.15),28,87.5,5.20 (4.55-5.85)
astrocytes 15,208.0,0.45,84.0,4,2,50.0,4.20 (2.94-5.47),2,50.0,0.95 (NA-NA)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.334,67.0,46,3,6.52,4.42 (3.84-4.99),43,93.48,5.08 (4.48-5.68)
astrocytes 4,201.0,0.23,81.0,18,11,61.11,3.41 (2.96-3.85),7,38.89,6.42 (5.29-7.56)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
