tipo_celular,module_size,PAM_MM,PAM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,388.0,0.179,65.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,322.0,0.241,75.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,4285.0,0.106,14.0,353,17,4.82,1.26 (0.80-1.72),336,95.18,4.06 (3.89-4.24)
GABA neurons expressing GLU receptors 22,459.0,0.139,41.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,795.0,0.146,57.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,71.0,0.43,89.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,266.0,0.142,38.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,658.0,0.329,83.0,120,4,3.33,2.82 (1.98-3.66),116,96.67,4.68 (4.36-5.00)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.03,1.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.195,88.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,218.0,0.312,59.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,147.0,0.216,40.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,1401.0,0.107,69.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,300.0,0.196,62.0,159,1,0.63,NA,158,99.37,4.36 (4.06-4.67)
astrocytes microglia 23,86.0,0.281,30.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
astrocytes 4,752.0,0.147,39.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
