tipo_celular,module_size,WDR45_MM,WDR45_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.119,65.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.18,34.0,455,21,4.62,3.51 (2.58-4.44),434,95.38,4.39 (4.20-4.58)
astrocytes 8,1266.0,0.05,15.0,66,10,15.15,2.06 (1.32-2.80),56,84.85,3.47 (3.02-3.93)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,116.0,0.382,89.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,443.0,0.136,37.0,9,2,22.22,0.95 (NA-NA),7,77.78,3.60 (2.32-4.88)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.089,17.0,182,2,1.1,2.87 (2.83-2.90),180,98.9,3.65 (3.39-3.90)
astrocytes microglia 23,125.0,0.308,45.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,171.0,0.112,9.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
