tipo_celular,module_size,UBE2O_MM,UBE2O_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.111,20.0,140,3,2.14,2.05 (2.00-2.10),137,97.86,4.59 (4.17-5.02)
T cells 18,393,0.152,49.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,1656,0.083,8.0,136,5,3.68,2.43 (1.28-3.59),131,96.32,3.24 (2.96-3.52)
oligodendrocyte progenitor cells 7,4285,0.159,84.0,353,47,13.31,2.47 (1.95-3.00),306,86.69,4.13 (3.95-4.32)
GABA neurons expressing GLU receptors 22,487,0.18,34.0,73,1,1.37,1.55 (NA-NA),72,98.63,2.77 (2.39-3.16)
GLU like neurons 17,1247,0.186,79.0,51,3,5.88,2.04 (1.96-2.12),48,94.12,3.70 (3.11-4.30)
da like neurons 11,853,0.291,97.0,133,19,14.29,1.56 (1.06-2.06),114,85.71,3.58 (3.25-3.90)
GABA neurons expressing GABA receptors 13,357,0.169,54.0,237,1,0.42,2.95 (NA-NA),236,99.58,4.42 (4.18-4.65)
endothelial cells 9,1653,0.119,43.0,297,14,4.71,4.77 (3.64-5.90),283,95.29,3.63 (3.43-3.84)
oligodendrocytes 20,403,0.021,2.0,18,12,66.67,1.43 (0.81-2.05),6,33.33,2.77 (1.32-4.22)
GABA like neurons 14,1300,0.212,53.0,306,19,6.21,2.23 (1.80-2.67),287,93.79,5.38 (5.13-5.64)
astrocytes 8,1266,0.057,22.0,66,17,25.76,1.77 (1.21-2.33),49,74.24,3.85 (3.42-4.27)
oligodendrocyte progenitor cells 12,3303,0.031,3.0,276,39,14.13,2.46 (2.04-2.89),237,85.87,3.74 (3.51-3.98)
oligodendrocytes 10,806,0.05,8.0,261,3,1.15,2.05 (2.00-2.10),258,98.85,4.40 (4.16-4.64)
connective tissue cells 21,96,0.3,62.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401,0.066,31.0,96,3,3.12,1.95 (1.78-2.12),93,96.88,3.68 (3.22-4.14)
oligodendrocytes 16,105,0.187,34.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,518,0.122,62.0,122,15,12.3,1.78 (1.27-2.28),107,87.7,4.41 (4.02-4.81)
astrocytes microglia 23,124,0.234,10.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,1807,0.138,38.0,104,26,25.0,2.16 (1.72-2.61),78,75.0,3.11 (2.78-3.44)
oligodendrocytes 0,2078,0.101,24.0,238,19,7.98,3.25 (2.59-3.91),219,92.02,3.67 (3.44-3.90)
microglia 1,958,0.129,74.0,290,14,4.83,1.91 (1.45-2.36),276,95.17,3.91 (3.68-4.14)
oligodendrocytes 3,1003,0.05,6.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65)
oligodendrocytes 2,1630,0.153,73.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
