tipo_celular,module_size,HMOX2_MM,HMOX2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.154,50.0,59,1,1.69,2.86 (NA-NA),58,98.31,3.11 (2.60-3.62)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,703.0,0.105,10.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,380.0,0.285,96.0,39,2,5.13,2.67 (0.85-4.49),37,94.87,2.98 (2.40-3.56)
da like neurons 11,215.0,0.159,37.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,417.0,0.141,36.0,213,14,6.57,1.68 (0.62-2.73),199,93.43,3.95 (3.72-4.18)
endothelial cells 9,916.0,0.084,10.0,302,14,4.64,3.26 (2.26-4.27),288,95.36,4.02 (3.79-4.25)
oligodendrocytes 20,330.0,0.124,28.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,2402.0,0.262,58.0,455,26,5.71,2.35 (1.76-2.95),429,94.29,4.50 (4.31-4.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.11,59.0,277,1,0.36,4.47 (NA-NA),276,99.64,3.89 (3.65-4.13)
connective tissue cells 21,106.0,0.421,96.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,74.0,0.171,44.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,729.0,0.132,39.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,42.0,0.412,86.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.146,35.0,252,29,11.51,2.48 (1.84-3.12),223,88.49,4.36 (4.11-4.61)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.043,5.0,345,10,2.9,2.97 (2.37-3.57),335,97.1,4.32 (4.10-4.53)
oligodendrocytes 2,526.0,0.238,44.0,213,2,0.94,5.83 (3.17-8.48),211,99.06,3.96 (3.68-4.23)
