tipo_celular,module_size,KLHL18_MM,KLHL18_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.182,69.0,71,1,1.41,0.21 (NA-NA),70,98.59,2.66 (2.25-3.07)
T cells 18,610.0,0.188,74.0,98,8,8.16,1.63 (0.89-2.36),90,91.84,3.27 (2.95-3.59)
astrocytes 5,1656.0,0.128,71.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,666.0,0.146,33.0,127,5,3.94,1.31 (0.80-1.82),122,96.06,3.99 (3.66-4.32)
GABA neurons expressing GLU receptors 22,703.0,0.135,22.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1247.0,0.081,14.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,289.0,0.102,14.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.035,11.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66)
GABA like neurons 14,2090.0,0.109,19.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,354.0,0.095,33.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.09,64.0,276,15,5.43,2.37 (1.55-3.20),261,94.57,3.63 (3.41-3.85)
oligodendrocytes 10,2107.0,0.145,50.0,358,26,7.26,2.53 (1.96-3.09),332,92.74,4.00 (3.81-4.20)
connective tissue cells 21,106.0,0.347,80.0,9,0,0.0,NA,9,100.0,3.76 (1.20-6.32)
astrocytes 15,377.0,0.128,32.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38)
oligodendrocytes 16,75.0,0.098,5.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,37.0,0.313,34.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.143,47.0,104,10,9.62,1.70 (0.98-2.42),94,90.38,3.00 (2.71-3.29)
oligodendrocytes 0,2078.0,0.11,42.0,238,7,2.94,3.52 (2.21-4.82),231,97.06,3.64 (3.42-3.86)
microglia 1,958.0,0.108,45.0,290,6,2.07,1.42 (0.95-1.88),284,97.93,3.88 (3.65-4.11)
oligodendrocytes 3,1003.0,0.054,8.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.132,30.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
