tipo_celular,module_size,ATCAY_MM,ATCAY_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.187,78.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,848.0,0.261,67.0,262,27,10.31,4.21 (3.37-5.06),235,89.69,4.15 (3.89-4.40)
GLU like neurons 17,380.0,0.137,26.0,39,1,2.56,1.74 (NA-NA),38,97.44,3.00 (2.44-3.56)
da like neurons 11,1220.0,0.134,30.0,410,17,4.15,3.34 (2.52-4.15),393,95.85,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,200.0,0.219,87.0,34,1,2.94,3.68 (NA-NA),33,97.06,3.90 (2.98-4.81)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.066,3.0,455,21,4.62,2.26 (1.44-3.08),434,95.38,4.48 (4.30-4.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,103.0,0.447,46.0,9,3,33.33,5.41 (5.28-5.54),6,66.67,2.24 (0.06-4.41)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.18,78.0,124,5,4.03,2.63 (0.94-4.32),119,95.97,4.26 (3.86-4.65)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
