tipo_celular,module_size,ALG14_MM,ALG14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.125,65.0,136,9,6.62,3.08 (2.32-3.83),127,93.38,3.22 (2.93-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.127,37.0,353,24,6.8,1.65 (1.18-2.11),329,93.2,4.11 (3.93-4.28)
GABA neurons expressing GLU receptors 22,599.0,0.201,44.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,685.0,0.063,7.0,135,10,7.41,1.79 (1.18-2.40),125,92.59,3.32 (3.01-3.64)
da like neurons 11,200.0,0.182,50.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,271.0,0.211,65.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.088,11.0,125,3,2.4,3.45 (2.73-4.16),122,97.6,3.35 (3.02-3.68)
astrocytes 8,577.0,0.053,21.0,83,4,4.82,3.12 (2.59-3.65),79,95.18,3.26 (2.78-3.74)
oligodendrocyte progenitor cells 12,708.0,0.076,32.0,32,6,18.75,0.64 (0.20-1.08),26,81.25,3.96 (3.16-4.75)
oligodendrocytes 10,1277.0,0.063,19.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,139.0,0.365,85.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1401.0,0.086,51.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,158.0,0.148,13.0,30,0,0.0,NA,30,100.0,2.33 (1.68-2.98)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,121.0,0.459,100.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,1807.0,0.093,1.0,104,20,19.23,2.20 (1.65-2.76),84,80.77,3.04 (2.72-3.35)
oligodendrocytes 0,2078.0,0.122,67.0,238,6,2.52,2.45 (1.55-3.36),232,97.48,3.67 (3.45-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.081,36.0,15,6,40.0,1.20 (0.31-2.09),9,60.0,5.12 (3.78-6.47)
oligodendrocytes 2,804.0,0.13,24.0,84,8,9.52,1.76 (0.95-2.58),76,90.48,2.81 (2.46-3.17)
