tipo_celular,module_size,ZDHHC7_MM,ZDHHC7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.19,31.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,282.0,0.142,42.0,241,1,0.41,5.19 (NA-NA),240,99.59,4.05 (3.80-4.30)
astrocytes 5,1656.0,0.103,30.0,136,5,3.68,2.35 (1.38-3.33),131,96.32,3.25 (2.97-3.52)
oligodendrocyte progenitor cells 7,4285.0,0.122,29.0,353,45,12.75,2.34 (1.94-2.74),308,87.25,4.20 (4.01-4.38)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,215.0,0.066,3.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.082,8.0,120,27,22.5,3.33 (2.90-3.77),93,77.5,5.05 (4.70-5.40)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.102,14.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,603.0,0.053,27.0,89,5,5.62,1.10 (0.88-1.32),84,94.38,2.90 (2.54-3.26)
oligodendrocyte progenitor cells 12,3303.0,0.04,7.0,276,31,11.23,2.39 (1.94-2.84),245,88.77,3.74 (3.51-3.97)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,139.0,0.377,90.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1768.0,0.053,16.0,105,27,25.71,2.23 (1.83-2.64),78,74.29,3.59 (3.19-3.99)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.37,73.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,1807.0,0.112,7.0,104,27,25.96,2.28 (1.83-2.72),77,74.04,3.09 (2.75-3.43)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.098,33.0,161,33,20.5,2.03 (1.60-2.46),128,79.5,3.69 (3.40-3.97)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
