tipo_celular,module_size,EML6_MM,EML6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.104,17.0,166,1,0.6,0.55 (NA-NA),165,99.4,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,4285.0,0.142,61.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,459.0,0.188,63.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,795.0,0.245,86.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,102.0,0.352,78.0,8,0,0.0,NA,8,100.0,2.36 (0.98-3.74)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.274,79.0,306,2,0.65,1.95 (NA-NA),304,99.35,5.11 (4.84-5.37)
astrocytes 8,218.0,0.065,38.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,411.0,0.088,45.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.145,46.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.249,43.0,57,1,1.75,NA,56,98.25,2.65 (2.29-3.01)
astrocytes 4,201.0,0.175,53.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
