tipo_celular,module_size,DNAJA2_MM,DNAJA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.077,5.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.098,6.0,164,2,1.22,4.11 (3.81-4.41),162,98.78,4.08 (3.75-4.42)
GABA neurons expressing GLU receptors 22,459.0,0.087,14.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.218,62.0,410,15,3.66,4.04 (2.44-5.64),395,96.34,4.25 (4.07-4.44)
GABA neurons expressing GABA receptors 13,357.0,0.148,41.0,237,2,0.84,4.95 (NA-NA),235,99.16,4.40 (4.17-4.64)
endothelial cells 9,385.0,0.099,46.0,275,27,9.82,2.07 (1.14-2.99),248,90.18,4.16 (3.91-4.41)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.371,76.0,455,25,5.49,2.35 (1.27-3.42),430,94.51,4.45 (4.27-4.63)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.104,78.0,276,12,4.35,1.28 (1.00-1.57),264,95.65,3.68 (3.46-3.89)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.172,71.0,235,9,3.83,3.35 (1.78-4.92),226,96.17,4.00 (3.74-4.25)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
