tipo_celular,module_size,UBA2_MM,UBA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.095,10.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46)
T cells 18,610,0.075,5.0,98,30,30.61,1.70 (1.33-2.07),68,69.39,3.82 (3.51-4.12)
astrocytes 5,423,0.088,5.0,80,3,3.75,2.72 (1.07-4.36),77,96.25,3.43 (2.94-3.92)
oligodendrocyte progenitor cells 7,4285,0.146,67.0,353,45,12.75,2.08 (1.72-2.45),308,87.25,4.22 (4.04-4.40)
GABA neurons expressing GLU receptors 22,848,0.214,52.0,262,23,8.78,2.99 (2.31-3.66),239,91.22,4.31 (4.05-4.56)
GLU like neurons 17,1316,0.075,10.0,101,3,2.97,2.76 (2.30-3.22),98,97.03,3.06 (2.70-3.42)
da like neurons 11,1220,0.091,11.0,410,18,4.39,3.15 (2.42-3.89),392,95.61,4.31 (4.12-4.51)
GABA neurons expressing GABA receptors 13,77,0.212,72.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.60 (2.98-4.21)
endothelial cells 9,586,0.338,73.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,676,0.024,5.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66)
GABA like neurons 14,2090,0.102,14.0,74,3,4.05,2.56 (1.82-3.29),71,95.95,2.96 (2.57-3.35)
astrocytes 8,1266,0.066,32.0,66,14,21.21,1.57 (0.95-2.19),52,78.79,3.77 (3.36-4.17)
oligodendrocyte progenitor cells 12,3303,0.085,58.0,276,45,16.3,2.43 (2.10-2.76),231,83.7,3.82 (3.58-4.06)
oligodendrocytes 10,735,0.102,54.0,277,5,1.81,5.47 (4.75-6.19),272,98.19,3.87 (3.63-4.11)
connective tissue cells 21,106,0.303,63.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,367,0.119,35.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,313,0.172,30.0,291,18,6.19,3.26 (2.61-3.90),273,93.81,4.42 (4.18-4.65)
da neurons 6,307,0.124,55.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,122,0.227,9.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,721,0.157,60.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,613,0.128,36.0,127,9,7.09,2.10 (1.54-2.67),118,92.91,3.16 (2.71-3.61)
microglia 1,958,0.1,33.0,290,14,4.83,2.96 (1.82-4.10),276,95.17,3.86 (3.62-4.09)
oligodendrocytes 3,681,0.07,25.0,87,22,25.29,1.69 (1.33-2.06),65,74.71,2.90 (2.59-3.21)
oligodendrocytes 2,921,0.161,84.0,200,2,1.0,3.01 (0.95-5.08),198,99.0,3.63 (3.36-3.90)
