tipo_celular,module_size,PREX2_MM,PREX2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.216,55.0,98,3,3.06,4.23 (0.39-8.08),95,96.94,4.61 (4.21-5.02)
oligodendrocyte progenitor cells 7,436.0,0.038,2.0,219,1,0.46,NA,218,99.54,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.232,82.0,135,12,8.89,2.78 (2.00-3.56),123,91.11,3.23 (2.91-3.56)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.199,49.0,120,22,18.33,3.76 (3.05-4.48),98,81.67,4.81 (4.47-5.15)
oligodendrocytes 20,221.0,0.274,74.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,3052.0,0.124,37.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,279.0,0.295,60.0,78,13,16.67,2.65 (2.26-3.04),65,83.33,4.64 (4.20-5.08)
oligodendrocyte progenitor cells 12,411.0,0.239,63.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,130.0,0.431,57.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,126.0,0.186,3.0,7,0,0.0,NA,7,100.0,1.50 (0.53-2.48)
astrocytes 15,418.0,0.495,90.0,54,7,12.96,3.91 (2.86-4.96),47,87.04,3.64 (3.16-4.13)
oligodendrocytes 16,104.0,0.182,26.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.337,69.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,220.0,0.243,85.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,309.0,0.186,83.0,30,2,6.67,5.16 (5.16-5.16),28,93.33,6.18 (5.53-6.83)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.135,86.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804.0,0.187,83.0,84,2,2.38,0.58 (-0.15-1.31),82,97.62,2.75 (2.42-3.09)
