tipo_celular,module_size,WSB1_MM,WSB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.186,41.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,349.0,0.2,55.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,328.0,0.151,43.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628.0,0.12,18.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,599.0,0.231,62.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,685.0,0.209,79.0,135,6,4.44,1.40 (0.62-2.18),129,95.56,3.29 (2.98-3.60)
da like neurons 11,168.0,0.217,73.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.197,89.0,297,5,1.68,4.57 (3.62-5.52),292,98.32,3.66 (3.45-3.86)
oligodendrocytes 20,676.0,0.485,77.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,1300.0,0.063,4.0,306,4,1.31,2.20 (0.74-3.66),302,98.69,5.15 (4.89-5.41)
astrocytes 8,771.0,0.177,62.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,254.0,0.117,19.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08)
oligodendrocytes 10,204.0,0.307,22.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,136.0,0.199,7.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,268.0,0.131,64.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,287.0,0.37,68.0,105,0,0.0,NA,105,100.0,5.07 (4.63-5.52)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.158,3.0,120,5,4.17,1.50 (0.37-2.62),115,95.83,3.73 (3.43-4.02)
astrocytes 4,161.0,0.128,15.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,261.0,0.096,6.0,42,0,0.0,NA,42,100.0,4.06 (3.37-4.75)
microglia 1,480.0,0.141,25.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,127.0,0.299,66.0,45,0,0.0,NA,45,100.0,4.32 (3.47-5.16)
oligodendrocytes 2,347.0,0.065,1.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
