tipo_celular,module_size,STK33_MM,STK33_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.234,87.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.168,92.0,353,28,7.93,2.21 (1.69-2.73),325,92.07,4.08 (3.90-4.27)
GABA neurons expressing GLU receptors 22,599.0,0.267,76.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08)
GLU like neurons 17,1316.0,0.189,90.0,101,3,2.97,2.82 (2.53-3.11),98,97.03,3.06 (2.70-3.42)
da like neurons 11,191.0,0.096,10.0,93,0,0.0,NA,93,100.0,5.65 (5.25-6.05)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.209,95.0,125,2,1.6,3.02 (2.98-3.06),123,98.4,3.36 (3.03-3.69)
astrocytes 8,279.0,0.082,3.0,78,7,8.97,2.45 (1.97-2.93),71,91.03,4.53 (4.11-4.96)
oligodendrocyte progenitor cells 12,3303.0,0.103,77.0,276,20,7.25,2.67 (2.10-3.23),256,92.75,3.63 (3.40-3.86)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,84.0,0.336,79.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,268.0,0.295,91.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.288,66.0,7,3,42.86,3.92 (3.20-4.64),4,57.14,5.76 (4.31-7.21)
astrocytes 4,752.0,0.223,100.0,96,7,7.29,3.60 (3.01-4.20),89,92.71,3.26 (2.90-3.62)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
