tipo_celular,module_size,NPM1_MM,NPM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.206,85.0,71,15,21.13,2.94 (2.17-3.72),56,78.87,2.52 (2.04-3.00)
T cells 18,506.0,0.109,15.0,225,49,21.78,3.43 (2.93-3.94),176,78.22,3.67 (3.39-3.96)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.099,9.0,353,124,35.13,3.00 (2.74-3.26),229,64.87,4.57 (4.36-4.77)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417.0,0.177,60.0,213,42,19.72,2.55 (1.99-3.12),171,80.28,4.12 (3.89-4.36)
endothelial cells 9,916.0,0.214,52.0,302,11,3.64,4.15 (1.89-6.40),291,96.36,3.98 (3.75-4.20)
oligodendrocytes 20,938.0,0.209,82.0,169,29,17.16,3.63 (2.99-4.27),140,82.84,3.45 (3.22-3.67)
GABA like neurons 14,2402.0,0.418,81.0,455,71,15.6,3.30 (2.82-3.78),384,84.4,4.59 (4.41-4.78)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.132,69.0,235,16,6.81,4.95 (3.91-5.99),219,93.19,3.73 (3.50-3.96)
oligodendrocytes 10,483.0,0.277,80.0,129,16,12.4,5.38 (4.40-6.35),113,87.6,3.16 (2.77-3.55)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,74.0,0.198,55.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.185,75.0,235,11,4.68,2.65 (1.82-3.48),224,95.32,4.07 (3.81-4.32)
astrocytes microglia 23,94.0,0.413,89.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.116,52.0,238,45,18.91,3.66 (3.24-4.09),193,81.09,3.63 (3.37-3.88)
microglia 1,406.0,0.185,51.0,278,18,6.47,5.07 (4.51-5.63),260,93.53,4.30 (4.00-4.59)
oligodendrocytes 3,743.0,0.066,27.0,76,4,5.26,5.20 (2.84-7.55),72,94.74,3.03 (2.66-3.41)
oligodendrocytes 2,1630.0,0.161,86.0,154,7,4.55,3.85 (2.91-4.79),147,95.45,3.21 (2.94-3.49)
