tipo_celular,module_size,MCTP1_MM,MCTP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.255,88.0,19,1,5.26,3.38 (NA-NA),18,94.74,2.47 (1.72-3.22)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.157,82.0,353,21,5.95,1.74 (1.26-2.22),332,94.05,4.07 (3.89-4.25)
GABA neurons expressing GLU receptors 22,823.0,0.112,12.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,795.0,0.252,87.0,80,4,5.0,4.35 (NA-NA),76,95.0,5.70 (5.29-6.12)
da like neurons 11,137.0,0.337,73.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.271,70.0,120,20,16.67,3.53 (2.98-4.08),100,83.33,4.85 (4.50-5.19)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.203,49.0,306,40,13.07,3.46 (2.93-3.99),266,86.93,5.46 (5.19-5.73)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411.0,0.085,44.0,103,5,4.85,4.88 (4.62-5.14),98,95.15,5.59 (5.18-6.00)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.24,13.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,346.0,0.267,89.0,43,3,6.98,3.73 (3.39-4.08),40,93.02,3.77 (3.22-4.32)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
