tipo_celular,module_size,SCAMP5_MM,SCAMP5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,228.0,0.108,15.0,266,33,12.41,2.70 (2.25-3.15),233,87.59,4.40 (4.18-4.61)
oligodendrocyte progenitor cells 7,296.0,0.144,26.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848.0,0.305,77.0,262,28,10.69,3.38 (2.76-3.99),234,89.31,4.30 (4.03-4.56)
GLU like neurons 17,1247.0,0.194,82.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,1220.0,0.102,16.0,410,22,5.37,3.19 (2.73-3.66),388,94.63,4.33 (4.14-4.53)
GABA neurons expressing GABA receptors 13,266.0,0.12,24.0,118,7,5.93,5.42 (4.88-5.96),111,94.07,4.68 (4.30-5.06)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,271.0,0.143,37.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,1300.0,0.119,13.0,306,20,6.54,2.07 (1.65-2.49),286,93.46,5.42 (5.17-5.66)
astrocytes 8,520.0,0.139,59.0,288,33,11.46,3.56 (3.14-3.98),255,88.54,4.28 (4.06-4.50)
oligodendrocyte progenitor cells 12,143.0,0.027,1.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,806.0,0.305,80.0,261,17,6.51,3.11 (2.56-3.67),244,93.49,4.48 (4.23-4.74)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.043,8.0,105,19,18.1,1.98 (1.52-2.43),86,81.9,3.51 (3.14-3.89)
oligodendrocytes 16,313.0,0.176,32.0,291,24,8.25,3.20 (2.79-3.61),267,91.75,4.46 (4.22-4.70)
da neurons 6,307.0,0.154,74.0,95,8,8.42,5.00 (4.02-5.97),87,91.58,4.83 (4.35-5.30)
astrocytes microglia 23,76.0,0.384,90.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.125,17.0,104,16,15.38,1.98 (1.39-2.56),88,84.62,3.04 (2.74-3.34)
oligodendrocytes 0,116.0,0.068,5.0,169,2,1.18,3.61 (0.61-6.62),167,98.82,4.29 (3.99-4.59)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.085,31.0,345,26,7.54,3.11 (2.77-3.44),319,92.46,4.41 (4.19-4.63)
oligodendrocytes 2,1630.0,0.115,9.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
