tipo_celular,module_size,SOX6_MM,SOX6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.182,64.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,436.0,0.203,83.0,219,12,5.48,4.10 (3.28-4.93),207,94.52,5.31 (5.01-5.61)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.312,93.0,135,20,14.81,1.44 (1.21-1.67),115,85.19,3.56 (3.24-3.88)
da like neurons 11,191.0,0.36,68.0,93,6,6.45,4.96 (4.24-5.68),87,93.55,5.71 (5.28-6.15)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.36,86.0,54,5,9.26,5.48 (4.82-6.14),49,90.74,4.75 (4.05-5.45)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.073,6.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,279.0,0.378,97.0,78,15,19.23,3.25 (2.40-4.09),63,80.77,4.57 (4.12-5.02)
oligodendrocyte progenitor cells 12,708.0,0.187,73.0,32,8,25.0,1.63 (0.31-2.95),24,75.0,3.89 (3.03-4.76)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,139.0,0.189,4.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,418.0,0.541,95.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.201,89.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,59.0,0.27,32.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,220.0,0.228,82.0,63,21,33.33,3.96 (3.33-4.60),42,66.67,5.96 (5.26-6.67)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
