tipo_celular,module_size,HMGN2_MM,HMGN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.113,18.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.117,15.0,164,2,1.22,4.11 (3.81-4.41),162,98.78,4.08 (3.75-4.42)
GABA neurons expressing GLU receptors 22,848.0,0.231,58.0,262,8,3.05,2.11 (1.05-3.17),254,96.95,4.25 (4.00-4.50)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.131,25.0,302,4,1.32,2.54 (0.66-4.42),298,98.68,4.01 (3.78-4.23)
oligodendrocytes 20,271.0,0.157,42.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.074,37.0,235,2,0.85,4.11 (3.81-4.41),233,99.15,3.82 (3.59-4.05)
oligodendrocytes 10,483.0,0.203,72.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,69.0,0.341,95.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.242,20.0,120,11,9.17,2.23 (1.49-2.97),109,90.83,3.79 (3.48-4.10)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.118,58.0,238,3,1.26,2.41 (-1.91-6.73),235,98.74,3.65 (3.43-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.055,12.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.121,15.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
