tipo_celular,module_size,RPE_MM,RPE_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.149,45.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,477.0,0.179,62.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.159,85.0,353,12,3.4,1.17 (0.59-1.75),341,96.6,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,848.0,0.154,25.0,262,15,5.73,2.96 (2.02-3.90),247,94.27,4.23 (3.98-4.49)
GLU like neurons 17,685.0,0.109,35.0,135,8,5.93,1.37 (0.18-2.57),127,94.07,3.26 (2.95-3.56)
da like neurons 11,94.0,0.082,16.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.06,19.0,169,16,9.47,3.22 (2.45-3.99),153,90.53,3.51 (3.28-3.74)
GABA like neurons 14,3052.0,0.103,20.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.083,55.0,276,10,3.62,2.10 (1.28-2.91),266,96.38,3.61 (3.39-3.83)
oligodendrocytes 10,2107.0,0.101,29.0,358,12,3.35,1.17 (0.59-1.75),346,96.65,3.99 (3.80-4.17)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,121.0,0.189,34.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.369,81.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.142,95.0,238,3,1.26,1.39 (0.07-2.70),235,98.74,3.67 (3.45-3.89)
microglia 1,1615.0,0.107,46.0,161,12,7.45,1.17 (0.59-1.75),149,92.55,3.48 (3.22-3.75)
oligodendrocytes 3,1003.0,0.067,17.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.158,82.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
